Odom Reading 1 (Previous),Odom Reading 1 (Update),Odom Reading 2 (Previous),Odom Reading 2 (Update),Odom Reading 3 (Previous),Odom Reading 3 (Update),Odom Reading 4 (Previous),Odom Reading 4 (Update)
86943,132888,81096,102682,,,,
59220,83592,35368,49292,,,,
27000,49976,,,,,,
110,13479,,,,,,
19303,51884,,,,,,
55091,100462,,,,,,
49352,85870,,,,,,
60081,98846,,,,,,
3372,17833,66,29473,6,45573,,
45000,64047,,,,,,
7055,51813,26662,61520,,,,
81877,109837,,,,,,
5000,10214,,,,,,
1721,30093,30482,38315,,,,
126451,176134,,,,,,
105663,137021,39942,79072,,,,
194770,232729,40000,41028,,,,
59230,80215,40087,44154,,,,
164132,202271,,,,,,
5920,52594,99499,103431,58347,84388,,
142471,172366,190248,218863,,,,
188688,197094,16191,20899,50113,89616,,
106629,109234,40026,85230,,,,
66000,80338,59000,80776,62000,102496,,
54778,90188,,,,,,
68826,113082,,,,,,
55152,97142,,,,,,
73507,75575,61000,76198,,,,
16140,58117,,,950,20444,,
140694,143900,,,105604,118952,,
74000,100732,31000,76163,,,,
1500,31422,,,,,,
41203,87570,47908,56733,,,83821,119320
150792,170680,42116,57487,,,,
84920,87973,41170,88372,,,,
230,22353,,,,,,
29325,67441,,,,,,
163538,212114,,,,,,
40366,64559,,,,,,
31500,32896,,,,,,
10307,19790,,,,,,
76674,84503,,,,,,
388,10410,,,,,,
6966,18936,6923,29118,,,,
34000,45366,32613,81098,,,,
155750,169405,32490,53475,65049,74442,,
57000,106260,80000,83029,200,30783,,
8460,39733,,,,,,
5,40044,16565,25368,,,,
116140,145201,72371,74420,,,,
112000,129079,68691,78326,,,7000,19285
83436,121126,,,,,,
29530,52362,180,23273,,,,
8973,40030,125395,175171,,,,
135741,158572,,,,,,
700,2824,,,,,,
78706,115809,,,,,,
140581,167764,,,,,,
40727,47378,,,,,,
31094,52408,3421,46100,,,,
67544,70788,77852,97549,,,,
119547,124356,112130,141263,,,,
30521,74420,135649,142579,,,,
19884,45284,5990,10595,,,,
28482,62784,,,,,,
12817,31278,44761,80567,,,,
35293,41122,,,,,,
184251,207277,,,,,,
74624,105254,,,,,,
4000,13063,37126,86528,,,,
60049,62124,52000,64764,,,,
17000,39480,23000,50059,,,,
103000,118672,49142,81529,,,,
24712,63922,,,,,,
98980,120776,81376,112853,,,,
52312,56689,,,,,,
124771,160453,,,,,,
60000,90971,75000,111988,,,,
83118,110667,38508,50882,80640,96154,,
135514,183033,,,90673,127536,,
56000,95261,,,,,,
63640,73813,,,,,,
70807,102624,,,,,,
43935,79123,,,,,,
57471,83206,,,,,,
57343,105126,78344,112703,,,,
86024,121354,,,,,,
111023,126050,41810,51382,,,,
55619,61204,13587,61895,18791,19703,,
70619,75232,26342,28713,,,,
83866,112668,,,,,,
31026,53379,,,,,,
50451,52603,,,,,,
149040,173350,34913,47113,,,,
92255,127196,,,,,,
16665,47710,174231,219902,,,,
50,37785,,,,,,
37914,40800,,,,,35395,69232
64063,111737,,,,,,
174000,190309,172000,184679,,,,
30078,68431,,,,,,
22668,60776,24276,61209,,,,
49520,63203,,,,,,
65641,99294,100094,139485,,,,
50206,66021,163430,174635,,,,
28500,55046,15800,37962,,,,
108668,126066,,,,,,
121446,134330,,,,,,
46356,55026,,,,,,
65000,85462,21,21235,5,39741,,
37562,46841,,,,,,
51442,101127,,,,,,
132352,158088,105347,117809,,,,
79448,84471,,,,,,
7912,57607,,,,,,
119160,167842,,,,,,
76724,114698,270,13510,,,,
163325,196484,,,,,,
47900,82509,,,,,,
4144,24066,,,36010,62216,,
64885,84589,30983,41975,,,,
10553,26214,122218,124320,,,,
100131,118517,,,,,891,36940
114503,121297,,,,,,
40681,49036,,,,,,
60829,66243,39335,80243,,,,
49620,59504,,,,,,
226651,257155,235638,252716,,,,
160242,198831,,,,,,
19000,32088,,,,,,
17934,37904,29607,77872,,,,
113091,127912,77124,104783,74177,88349,,
127039,144415,,,,,,
59000,85230,,,,,,
170095,175156,,,,,,
27281,38224,,,,,,
3616,38043,,,,,,
94367,131333,36514,68044,,,,
30200,67726,,,,,10,10908
43699,47174,,,,,,
167289,193307,,,,,,
36428,60667,,,,,,
11183,58342,112123,125234,,,,
46625,65756,,,,,,
128922,133045,121270,154071,,,,
29358,45645,41000,82066,,,,
28528,72313,54349,70469,,,,
12987,47768,,,,,,
20630,66498,80550,111797,,,,
22106,27210,,,,,,
69226,94767,31036,56331,,,,
10155,16855,,,,,,
165670,200555,,,,,,
35000,77533,25000,45285,,,,
33923,53765,99855,123832,,,,
44836,53984,101441,116208,,,,
11640,56518,,,,,,
2469,26902,,,,,,
89000,126481,,,,,,
21353,61527,,,,,,
58858,68684,34701,70327,,,,
35213,48925,,,,,,
136355,140915,210609,230514,,,,
125000,134563,38305,41986,,,,
72805,99513,,,,,,
155755,161873,9513,23449,,,,
25300,46929,84875,134506,,,,
69443,115999,,,,,,
584,46218,28187,49020,,,,
60767,87891,,,,,,
12339,48554,,,,,,
91085,103576,61637,74097,,,,
80019,125767,4083,51738,,,,
5711,27167,,,,,,
196,4612,,,87290,90114,,
64882,108122,,,,,,
0,13975,,,22000,61459,,
44465,74060,,,,,,
20649,31329,144655,184146,78945,115812,,
25000,54206,,,55095,71214,,
32876,74944,,,,,,
100462,119060,,,,,,
46180,75462,,,,,,
85099,117159,150464,185214,,,,
6000,42577,,,,,,
22079,57179,,,,,,
240388,247257,,,47442,61948,,
46763,63089,,,,,,
61406,76405,36756,82634,,,,
80350,85612,,,,,,
108683,111819,75151,117111,,,,
156325,197836,52972,68904,,,,
31212,71663,120267,141200,40420,76472,,
17982,61435,,,,,,
0,6482,46038,90726,,,,
37256,51441,,,,,,
15000,19135,234000,261539,,,,
44000,72988,,,,,,
69691,80587,44940,63199,,,,
38572,48322,13864,24313,,,,
109145,124647,,,,,,
39931,42992,8256,54678,,,,
38000,71754,48000,95225,,,,
37251,75495,,,,,,
20810,48081,,,,,,
106747,121788,,,,,,
18520,64606,,,,,,
69971,84704,,,,,,
25,1882,,,,,,
68470,110099,,,,,,
76227,113656,192936,229633,,,,
66426,113584,90845,134690,,,,
78984,92713,,,,,,
117184,149819,,,,,,
1040,22252,,,,,,
110000,148923,,,,,,
96055,123653,,,,,,
24561,26201,149052,183621,,,,
139673,179679,,,,,,
33300,82080,,,,,,
147426,193377,,,,,,
81500,125886,,,,,,
132367,173972,98918,145684,28534,63535,,
12014,33649,,,,,,
11569,39444,,,,,,
91833,115105,21408,30916,,,,
4244,32529,,,,,,
64972,67097,,,32113,79028,,
82139,112827,27000,49929,,,,
34107,57071,6425,11828,74069,93146,,
17868,40476,,,,,,
29030,50419,15732,31648,,,,
43343,70262,,,58039,98013,,
27132,73738,130743,152051,105704,122566,,
56229,91356,,,,,,
22054,25074,,,,,,
525,2116,,,70328,91007,772,17623
43000,75672,,,,,,
9761,57597,99569,100774,,,,
30825,43184,,,,,,
35000,63599,,,,,,
135517,164118,41261,73717,,,,
14133,21506,7317,7856,,,,
31948,66744,101000,148269,,,59145,103121
70000,112112,,,,,,
141395,165486,,,,,,
81031,115035,122933,152366,8657,10021,,
38036,39109,,,,,,
58895,85567,50226,91554,,,,
70155,89265,104005,123473,,,,
120099,126592,54932,83593,154345,171083,,
65134,110175,19871,68978,,,,
51305,56027,,,,,,
53676,54319,,,,,,
65662,83466,,,,,4042,10260
132352,148363,,,,,,
76191,117339,87746,106676,,,,
133000,163394,,,28000,73319,,
6726,13538,,,,,,
45110,88130,,,37542,83751,,
16874,66794,,,,,,
37000,56508,21430,34269,,,,
21596,39227,53168,87360,121567,128034,,
34656,69803,,,62000,82703,,
10042,31985,,,,,,
9540,19835,35446,52353,,,,
70214,115329,,,,,,
71000,71250,,,,,,
31523,54123,,,,,,
120183,133105,87937,94537,,,,
80873,104130,,,,,,
56000,84416,89993,110903,,,,
8,40574,,,,,,
153540,176514,,,,,,
44608,50318,17019,63760,,,,
32168,47138,44395,83342,,,,
50000,97950,,,,,,
67563,75570,,,,,,
27232,49183,,,,,,
141362,186709,128506,165919,,,,
84808,128717,149800,173152,,,,
117565,130569,,,80513,120662,,
102483,105998,,,,,,
24732,66971,,,,,,
962,28850,36447,80867,,,,
50687,53634,,,,,,
67500,88070,,,,,,
75601,124924,,,,,,
110034,140801,39336,84796,,,,
44669,45104,,,,,,
137455,147947,,,,,,
275995,294018,90000,96294,,,,
145956,157408,,,,,,
186700,211285,,,,,,
76721,95633,43942,90124,,,,
132000,171255,77586,112949,,,,
163473,207062,,,,,,
42643,43347,,,,,,
84707,110388,,,,,,
197077,197221,,,101266,121274,,
13484,17177,,,,,,
56594,66112,,,,,108793,147565
64740,90116,,,,,,
12295,21467,,,,,,
180423,198864,,,,,369,24567
48572,84652,,,,,,
128625,146914,7371,13997,,,,
43033,79987,,,,,,
49086,74417,29826,41899,,,,
65924,111787,,,,,,
49198,52146,30600,70808,,,,
54000,102877,,,,,,
105153,123932,,,,,,
91611,134032,32740,56328,,,,
90198,121919,,,,,,
118813,136671,17592,52366,10746,17823,,
67346,112256,26960,68121,,,,
138455,148952,,,,,,
75246,80511,15329,24787,,,,
138000,158964,135000,161873,,,,
14967,62502,,,,,,
112780,160241,60658,92821,,,,
29213,39416,,,,,,
48316,89958,,,,,,
101604,130982,,,,,,
7500,31464,10,29804,,,,
168296,205475,,,,,,
80000,100252,8000,39103,,,,
0,18350,41061,70506,,,,
60422,98810,109305,111197,,,,
26543,40077,,,,,,
18368,47458,,,,,,
82231,97040,,,,,,
177548,210393,,,,,,
91893,100780,,,,,,
88426,101910,,,,,,
60991,76898,60430,72119,,,,
63672,71383,,,,,,
58087,89178,,,,,,
155557,183243,,,,,,
129933,174090,,,,,,
45172,94767,,,,,,
116891,159254,,,,,,
99600,116146,80000,110195,,,,
102937,151137,64806,70212,,,,
12452,21986,115918,146745,,,,
4968,17680,,,,,,
58826,73695,244390,258090,122407,172259,176373,181853
35740,56039,,,,,,
16938,34262,,,,,,
98000,105296,,,,,,
103000,107907,53430,80175,72990,95218,,
56787,95429,,,4869,21815,13395,49002
129995,172078,,,,,,
30000,76754,,,,,,
97000,146547,,,,,,
29000,62200,,,,,,
45352,50963,,,,,,
614,17538,,,,,,
50000,85950,,,,,,
37000,48482,,,,,,
16505,53178,84934,125414,,,,
147000,149275,,,,,,
87300,125035,30,31847,,,,
118836,146019,,,,,,
52635,91350,,,,,,
167146,198150,63000,80613,,,,
16877,62522,,,,,,
91950,120041,,,,,14,42537
170477,212541,,,,,,
49604,97674,,,,,,
79989,101095,,,,,,
125806,174628,,,,,,
143000,190072,,,,,,
54708,71764,,,,,,
73595,95209,,,,,,
126497,173748,,,49302,97318,,
179,24739,4102,17382,,,,
16779,54749,51076,66008,42217,82356,,
49464,96647,,,70152,97790,,
51798,93420,,,,,,
11308,37039,10,33366,,,,
47100,82388,,,45738,54071,,
119000,134205,,,,,,
9224,49738,,,,,,
24326,32061,,,,,,
48803,73810,2429,42379,,,,
34000,38375,68000,117485,,,,
66939,74524,,,,,,
126274,173857,,,,,,
60598,82048,,,,,,
68,16159,157200,160055,,,,
51777,63826,,,,,,
18023,55771,0,31780,,,,
87939,106298,77918,121550,,,,
67950,97822,,,,,,
544,19656,,,,,,
28770,60142,26500,75240,,,,
41327,67172,,,,,,
8270,24056,161697,164601,,,,
125124,156586,24049,39938,,,,
58337,100107,,,,,,
151932,154854,,,,,,
27300,64590,,,,,,
34191,67498,2954,49326,636,3967,,
101763,148711,,,,,,
96874,136614,,,,,,
88744,125159,,,,,,
54374,61251,7791,20852,,,,
30309,78637,,,,,,
115793,163484,,,82388,125608,,
81054,104748,,,,,,
44179,92589,159619,198297,,,,
7463,10864,103942,131281,91271,115466,,
55585,65357,,,,,,
0,33233,,,,,,
125733,155883,,,,,,
16000,26129,84000,122098,,,,
147993,177380,130173,170790,,,,
69268,83068,,,,,,
177314,208386,,,,,,
89658,105114,,,,,,
148800,153727,95188,116045,,,,
4590,37997,,,,,,
4398,14499,65436,84354,,,,
164830,184518,,,,,,
107877,146944,108632,132455,,,,
217114,253434,172346,191161,,,,
35400,52054,,,,,,
79120,86479,39061,76199,,,,
101625,148134,135926,164660,,,,
51108,54145,68449,101354,,,,
48238,49987,43707,67236,,,,
53376,77999,,,,,,
80216,125872,,,,,,
98000,113416,14000,25757,,,,
14231,37341,,,,,,
70199,94847,28487,61933,,,,
143856,153355,,,,,,
28898,75563,11011,30582,,,,
150245,158190,72990,113329,,,,
53000,96755,,,,,,
22187,59104,,,,,,
39421,86447,,,,,,
17483,43374,96000,130088,,,,
42850,53297,,,,,,
12077,45705,,,,,,
91915,116493,58000,65153,,,,
463284,511887,,,,,,
145060,174237,125421,159527,138303,164800,,
10638,43801,30994,78402,,,,
23544,63384,78762,85299,,,,
138339,168282,,,,,,
36411,67575,97804,117872,,,,
63168,88734,,,,,,
34406,37998,49468,61974,179704,198600,,
77,40799,273,14640,,,,
3091,45274,,,,,,
14419,48890,,,,,,
77800,120010,68000,71722,,,,
112458,151857,71718,108861,,,,
104668,114241,,,,,,
28222,61418,,,,,,
58053,72028,11323,48855,,,,
32164,61017,,,,,,
101710,131910,64680,113604,,,,
42000,52355,112000,152117,,,,
69938,92817,,,,,,
31116,31460,49089,98951,,,,
100770,107802,,,,,,
140087,155246,55440,100912,,,,
121978,164568,,,61334,96781,,
190200,206440,,,,,,
84673,109415,,,,,,
102934,135617,15774,56672,,,,
37247,48737,71282,88175,,,,
80904,109481,17893,35637,,,,
65148,74203,161000,170307,,,,
142095,181669,111411,112119,,,,
19921,60392,,,,,,
97390,144709,,,,,,
48000,91803,0,45156,,,,
27098,64287,,,,,,
34000,80594,21000,70296,,,,
6191,34932,,,,,,
8695,21730,,,,,,
45483,58735,128032,149946,,,,
10991,54484,145902,169544,176424,200676,148268,175073
24000,65047,100000,127248,,,,
25254,58214,,,,,,
8653,28897,,,,,,
102584,113854,91936,113678,,,,
38000,60559,87000,121265,,,,
27930,41209,,,,,,
28979,36025,25715,39611,,,,
84351,101023,32024,75809,,,,
83656,133219,70226,111732,,,,
35325,46850,,,,,,
101841,137488,87311,100483,,,,
66956,101441,83394,83470,,,,
69250,88233,,,,,,
30807,63127,,,,,,
1168,2820,,,180399,200985,,
91512,111211,,,,,,
75529,108517,,,,,,
505,46230,58689,88631,87699,90602,,
145315,161342,,,23000,45710,,
32659,78615,130572,163699,,,,
129000,172496,,,,,,
81662,103469,,,,,,
400,1257,106005,113244,,,,
17107,44948,167333,173365,,,,
59795,63083,73363,106807,,,,
49789,84347,76239,93850,,,,
13281,48498,,,,,,
146050,176373,,,,,19002,23389
88000,97542,,,,,,
108851,132323,84210,96592,,,,
54043,88716,50,46641,,,,
94016,123820,101000,108864,,,,
35207,47209,,,,,,
33845,59233,5593,30364,,,,
63765,99045,37028,79000,,,,
30179,41131,,,0,36931,,
9587,46298,48330,55314,,,,
67949,109584,48878,55344,,,10050,17873
159390,178119,115185,161546,,,,
90918,128650,,,,,,
69084,111877,30637,42328,,,,
66158,89254,,,,,,
15809,45184,,,,,,
23376,71200,20969,60323,,,,
43249,86956,,,,,,
116884,143301,45436,60187,100597,141315,,
36500,61396,,,,,,
99056,103546,,,,,,
86500,114872,,,71005,119958,,
29872,63146,32969,58732,,,,
20000,69245,,,,,,
55542,101550,33268,60601,,,,
224607,247465,25639,60041,,,,
11354,19794,77557,123137,,,,
94216,106469,,,,,,
70106,100691,,,,,,
67776,107579,,,,,,
80683,128464,,,,,,
71534,94985,67781,103935,,,,
40792,42574,,,124396,131691,,
62756,108714,,,,,,
112837,119603,,,143826,166128,,
8222,47995,,,,,,
45325,62914,,,,,,
24845,40275,,,,,,
47700,50203,80178,91195,,,,
30437,70421,,,738,41411,,
50000,88857,,,,,,
90800,124459,,,,,,
157013,190877,,,,,,
792,24295,,,,,,
238710,241668,,,,,,
43688,69788,59666,75600,,,,
77631,114259,22999,37999,,,,
68758,116427,,,,,,
18022,43719,78896,84520,,,,
78920,90020,72850,87994,,,,
133594,159960,106765,109342,,,,
8300,8873,,,,,,
132084,132689,111442,135409,96973,121916,,
62000,83388,43000,58344,,,,
9421,25024,,,,,,
72000,119425,1000,20527,,,,
40158,89628,,,,,,
103010,112472,,,,,,
42588,63932,,,,,,
35000,51803,144100,186239,,,,
4301,7135,,,,,,
88391,136860,99530,120143,,,,
19709,56829,,,,,,
73506,88294,12990,22593,,,,
74397,82749,,,,,,
136278,163419,,,,,,
66210,87575,,,,,,
210044,233380,,,,,,
132801,136641,,,5,15201,,
109711,133692,,,,,,
83909,131587,,,,,,
28350,49114,,,,,,
43958,61421,,,,,,
5,23188,46910,67136,32420,48341,,
148000,186206,,,89000,112078,,
163138,197851,246427,256684,100487,114931,,
59113,83748,,,,,,
12200,22755,,,,,,
60000,102828,,,,,,
92859,113147,,,,,,
135273,182819,,,107078,114992,,
39517,53246,24960,41783,,,,
10859,45378,52971,84641,,,,
38347,42286,,,26,48002,,
183399,228101,269180,275053,,,,
0,43824,55000,80861,,,,
161904,169336,134624,152772,,,,
110693,114637,,,,,,
1400,26345,55000,59067,,,,
22463,42696,,,,,,
918,19543,52211,79351,,,,
137000,158779,,,10,49019,,
45000,89182,,,,,,
40362,88628,,,,,,
5885,21391,79958,121258,,,,
15280,24024,55627,77968,,,,
58000,88551,3000,38651,,,,
35609,68357,,,,,,
177924,208669,,,,,,
324,35901,,,,,,
76682,116307,38441,39407,,,,
150215,154398,100857,104928,,,,
54124,82902,151850,201727,,,,
44048,62203,81596,106879,,,,
50649,68060,,,,,,
89822,135661,139918,170764,,,,
10909,53868,,,108000,128203,,
68339,99946,19098,37895,,,,
48391,82353,28868,59871,,,,
434,42588,147625,177694,,,,
275451,316646,,,,,,
167976,169590,,,,,,
167136,170069,,,,,,
14691,27718,,,,,,
50353,97545,,,,,,
4690,20456,160546,202534,,,,
3276,11795,,,,,,
91859,127243,145885,152824,,,,
38206,83287,,,84622,133221,,
66282,88314,101482,128087,,,,
21000,26664,105000,111863,,,,
81579,106153,,,,,,
31091,34053,49927,53644,,,,
906,44350,,,,,,
23354,60750,125200,128208,80000,93377,,
30600,34045,,,,,,
0,26053,45340,75493,,,,
41306,89486,,,,,,
68374,110741,,,,,,
79633,123044,,,,,,
28130,47081,,,,,,
9271,19811,,,,,,
4734,53298,,,,,,
37914,68965,84000,113885,,,,
4,48759,17800,63889,,,,
128048,175791,27055,60145,,,,
101208,129896,135180,167438,,,,
47929,78058,113842,116859,,,,
96797,116614,,,,,109685,120743
71389,77010,86104,114606,,,,
131890,157899,,,,,,
49632,81705,,,,,,
68833,87830,,,,,,
156070,189392,,,,,,
10,2325,,,,,,
22629,61311,22589,24096,,,,
62973,101627,158962,201773,,,,
196503,244948,42141,67798,,,,
0,44538,,,,,,
